Question,Answer,Context,Yashwanth,Naman,Sathwik
What was Henry John Heniz’s lucky number?,5,"By 1905 it became the H.J. Heinz Company, Inc., and by 1919 it had more than 6,000 employees and 25 factories. The slogan “57 Varieties” was invented by Heinz in 1896,even though his firm was actually then producing more than 60 products, including its famed Heinzketchup (first sold as ""catsup"" in 1876); he reportedly chose the number 57 because 5 and 7 were his and his wife’s lucky numbers, respectively.",1,1,1
When is the Thanksgiving break at Carnegie Mellon University?,November 28th,"""date"": ""Wednesday, November 27"",
 ""event_name"": ""Thanksgiving Break; No Classes"",
 ""time"": ""All Day""
",0,0,0
What is the name of Oscar Wilde’s trivial comedy for serious people ?,The Importance of Being Earnest,"{'name': 'The Importance of Being Earnest', 'date': 'Mar 27, 2024 - Apr 14, 2024', 'description': 'A SATIRICAL MASTERPIECE OF WIT AND WISDOM', 'category': 'Arts + Culture,, Entertainment', 'venue': ""O'Reilly Theater 621 Penn Ave Pittsburgh, PA 15222"", 'more_details': 'Step into a world of sparkling conversation, romance, and sheer absurdity! Oscar Wilde’s wonderfully entertaining “trivial comedy for serious people” introduces two debonair bachelors, Jack and Algernon, who each lead a hidden double life. When a weekend in the country gives their alter egos the chance to win the hearts of two society ladies, they learn that keeping track of their lavish web of lies may be a bit harder than they realize. The plot twists and turns will at once keep you on the edge of your seat and doubled over in fits of laughter. Rating: PG for romantic innuendo, allusion to alcohol and smoking. Suitable for most audience with guidance urged for pre-teens.'}",1,1,1
When is Halloween happening this year?,October 31st,"""date"": ""Thursday, October 31"",
""event_name"": ""Halloween"",
 ""time"": ""All Day"",
 ""description"": ""Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.""
",0,1,1
Where do the Pittsburgh Symphony Orchestra perform usually?,Heinz Hall,"The Pittsburgh Symphony Orchestra performs at Heinz Hall, a restoredmovie theatre",1,1,1
Which city has been ranked as one of the World's Most Livable Cities?,Pittsburgh,"This is an article on History of Pittsburgh. Present-day Pittsburgh, with a diversified economy, a low cost of living, and a rich infrastructure for medicine and  education and culture, has been ranked as one of the World's Most Livable Cities. Tourism has recently boomed in Pittsburgh with nearly 3,000 new hotel rooms opening since 2004 and holding a consistently higher occupancy than in comparable cities.  Medicine has replaced steel as a leading industry. Meanwhile, tech giants such as Apple, Google, IBM Watson, Facebook, and Intel have joined the 1,600 technology firms choosing to operate out of Pittsburgh.  As a result of the proximity to CMU's National Robotics Engineering Center (NREC), there has a boom of autonomous vehicles companies.  The region has also become a leader in green environmental design, a movement exemplified by the city's convention center.  In the last twenty years the region has seen a small but influential group of Asian immigrants, including from the Indian sub-continent. It has been generally considered as the most recovered city from the rust belt.",1,1,0
How many car displays does the Pittsburgh Vintage Grand Prix host ?,two,"{'name': 'Downtown Car Display', 'date': 'Jul 31, 2024 | 11:00 am - 2:00 pm', 'description': 'If you work downtown, Wednesday of Race Week is a great day to take a long lunch break. The Pittsburgh Vintage Grand Prix hosts two distinct car displays in the golden triangle!', 'category': 'Outdoor', 'venue': 'N/A', 'more_details': 'Race cars and show cars form displays among the skyscrapers at downtownâ€™s most prominent addresses in Market Square and just 200 feet away is the display in PPG Place on the plaza surrounding the fountain. Online registration is now open. The cost is only $15 per car to participate in the Downtown Plaza Display. All cars must stay in place until 1:45 pm and depart plazas by 2:00 pm.'}",1,1,1
Who won the Most Valuable Player Award for Pittsburgh Pirates in the year 2013?,Andrew McCutchen,Player note -> Awards -> Most Valuable Player Award -> Andrew McCutchen (2013),1,1,1
What year was Bloomfield annexed by Pittsburgh?,1868,Bloomfield does not appear to have been an independent borough prior to its annexation by the City of Pittsburgh in 1868.,1,1,1
What is the maximum number of people that visited Fricks collection in a single day?,1600,"At its peak, the museum saw 1,600 visitors in one day.",1,1,1
How many local artist will be performing for the Opening Celebration of Pittsburgh Pride?,30+,"Pittsburgh Pride: The Opening Celebration is happening  on May 31, 2024 | 2:00 pm - 8:00 pm Featuring 30+ local artist, a headlining performances by The First Ladies of Disco, and a special opening act by the #1 Beyonce’ impersonator in the USA; Riley Knoxx!",1,1,1
What discovery lead to Clinton Davisson winning the Nobel prize?,Electron diffraction,"Electron diffraction – Clinton Davisson won the 1937 Nobel Prize in Physics for his discovery of electron diffraction in the famous Davisson–Germer experiment, which confirmed the de Broglie hypothesis that particles of matter have a wave-like nature, which is a central tenet of quantum mechanics. In particular, their observation of diffraction allowed the first measurement of a wavelength for electrons.",1,1,1
"What event is there on May 12,2024 at Rivers Club 301 Grant St Ste 411 Pittsburgh ?",Mother's Day Brunch,"{'name': ""Mother's Day Brunch"", 'date': 'May 12, 2024 | 10:00 am - 2:00 pm', 'description': 'Treat your mom to a day that’s as wonderful as she is with a special Mother’s Day Brunch at the Club.', 'category': 'Family,, Holidays', 'venue': 'Rivers Club 301 Grant St Ste 411 Pittsburgh, PA 15219', 'more_details': 'Reservations Required. Learn more'}",1,1,1
What major award did Geoffrey Hilton win in 2024?,Nobel prize for physics,Carnegie Mellon University Menu Spotlight Story Former Carnegie Mellon professor Geoffrey Hinton wins the Nobel Prize in physics.,0,1,0
"Name the profession of founder of Clemente Museum Duane Rieder?
Photographer","Photographer
",The Roberto Clemente Museum was founded in 2007 by photographer Duane Rieder.,1,1,1
What are the musical pieces featured in Darkness to Light: Manfred & Mahler 5 ?,"Coincident Dances, a double concerto premiere and 5th Symphony","{'name': 'Darkness to Light: Manfred & Mahler 5', 'date': 'Jun 7, 2024 - Jun 9, 2024', 'description': 'Experience the transcendence', 'category': 'Arts + Culture,, Music', 'venue': 'Heinz Hall 600 Penn Ave Pittsburgh, PA 15222', 'more_details': 'The program begins with the sounds of New York’s “frenetic energy and multicultural aural palette” in Jessie Montgomery’s Coincident Dances . Principal Oboe, Cynthia Koledo DeAlmeida, and Principal Horn, William Caballero, then join to premiere a double concerto by Michael Daugherty. The night ends with Mahler’s epic 5th Symphony. Written at the beginning of his relationship with his wife, Alma, this work is seen as a love letter to her, as it begins with a funeral march and culminates in celebration. Composers Jessie Montgomery and Michael Daugherty will be present for all performances.'}",0,0,0
When was Mayor David L. Lawrence elected?,1945,"This is an article on History of Pittsburgh. Rich and productive, Pittsburgh was also the ""Smoky City,"" with smog sometimes so thick that streetlights burned during the day as well as rivers that resembled open sewers.  Civic leaders, notably Mayor David L. Lawrence, elected in 1945, Richard K. Mellon, chairman of Mellon Bank and John P. Robin began smoke control and urban revitalization, also known as Urban Renewal projects that transformed the city in unforeseen ways.
""Renaissance I"" began in 1946.  Title One of the Housing Act of 1949 provided the means in which to begin.  By 1950, vast swaths of buildings and land near the Point were demolished for Gateway Center. 1953 saw the opening of the (since demolished) Greater Pittsburgh Municipal Airport terminal.
In the late 1950s and early 1960s, the lower Hill District, an area inhabited predominantly by poor Blacks, was completely destroyed. Ninety-five acres of the lower Hill District were cleared using eminent domain, forcibly displacing hundreds of small businesses and more than 8,000 people (1,239 black families, 312 white), to make room for a cultural center that included the Civic Arena, which opened in 1961. Other than one apartment building, none of the other buildings planned for the cultural center were ever built.
In the early 1960s, the neighborhood of East Liberty was also included in Renaissance I Urban Renewal plans, with over 125 acres (0.51 km2) of the neighborhood being demolished and replaced with garden apartments, three 20-story public housing apartments, and a convoluted road-way system that circled a pedestrianized shopping district.  In the span of just a few years during the mid-1960s, East Liberty became a blighted neighborhood. There were some 575 businesses in East Liberty in 1959, but only 292 in 1970, and just 98 in 1979.
Preservation efforts by the Pittsburgh History and Landmarks Foundation, along with community neighborhood groups, resisted the demolition plans.  The neighborhoods containing rich architectural heritage, including the Mexican War Streets, Allegheny West, and Manchester, were spared. The center of Allegheny City, with its culturally and socially important buildings, was not as lucky. All of the buildings, with the exception of the Old U.S. Post Office, the Carnegie Library, and Buhl Planetarium were destroyed and replaced with the ""pedestrianized"" Allegheny Center Mall and apartments.
The city's industrial base continued to grow in the post-war era partly assisted by the area's first agency entirely devoted to industrial development, the RIDC. Jones and Laughlin Steel Company expanded its plant on the Southside. H.J. Heinz, Pittsburgh Plate Glass, Alcoa, Westinghouse, U.S. Steel and its new division, the Pittsburgh Chemical Company and many other companies also continued robust operations through the 1960s. 1970 marked the completion of the final building projects of Renaissance I: the U.S. Steel Tower and Three Rivers Stadium. In 1974, with the addition of the fountain at the tip of the Golden Triangle, Point State Park was completed. Although air quality was dramatically improved, and Pittsburgh's manufacturing base seemed solid, questions abound about the negative effects Urban Renewal continues to have on the social fabric of Pittsburgh. Pittsburgh, however, was about to undergo one of its most dramatic transformations.
Like most major cities, Pittsburgh experienced several days of rioting following the assassination of Martin Luther King Jr. in April 1968. There were no further major riots, although tension remained high in the inner-city black neighborhoods.",1,1,1
What put pressure on University of Pittsburgh and Carnegie Mellon University to evolve?,The collapse of steel,"This is an article on History of Pittsburgh. Pittsburgh is home to three universities that are included in most under-graduate and graduate school national rankings, The University of Pittsburgh, Carnegie Mellon University and Duquesne University.  Carnegie Mellon University and the University of Pittsburgh had evolved in the mid-20th century along lines that followed the needs of the heavy industries that financed and directed their development. The collapse of steel put pressure on those two universities to reinvent themselves as research centers in science and technology which acted to pull the regional economy toward high-technology fields.  Other regional collegiate institutions include Robert Morris University, Chatham University, Carlow University,  Point Park University, La Roche College, Pittsburgh Theological Seminary, Trinity School for Ministry (an Episcopal seminary) and the Community College of Allegheny County.
Beginning in the 1980s, Pittsburgh's economy shifted from heavy industry to services, medicine, higher education, tourism, banking, corporate headquarters, and high technology. Today, the top two private employers in the city are the University of Pittsburgh Medical Center (26,000 employees) and the West Penn Allegheny Health System (13,000 employees).",1,1,1
Who plays the role of detective in the movie which is based on Walter Mosley’s novel?,Denzel Washington,"{'name': 'Devil in a Blue Dress (1995)', 'date': 'Feb 29, 2024 | 7:30 pm - 9:00 pm', 'description': 'Easy Rawlins (Denzel Washington), a decorated WWII hero, is trying to get by in segregated America.', 'category': 'Arts + Culture,, Film & Movies', 'venue': 'Harris Theater 809 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Celebrating 100 Years of Columbia Pictures Easy Rawlins (Denzel Washington), a decorated WWII hero, is trying to get by in segregated America. After losing his job, he ends up working as a detective on the trail of a missing white woman (Jennifer Beals) who is thought to be hiding somewhere in LA’s black community. Before long, trouble is around every corner. This richly atmospheric hard-boiled whodunit, which also stars a trigger-happy Don Cheadle in a scene-stealing performance, is based on Walter Mosley’s novel of the same name. The film is a suave, smart, stylish neo-noir from Franklin ( One False Move ), which has increasingly found recognition as a towering achievement of ’90s Black Hollywood. Directed by Carl Franklin Rated R'}",1,1,1
On what date does the registration for Summer 2025 semester open?,"March 11, 2025","{'event_name': 'Summer 2025 Registration Opens', 'date': 'March 11, 2025', 'time': 'All Day'}",1,0,1
